condition	tokens	criticalwords	grammaticality
s_ab	I know who with gusto _ grabbed _ the food in front of the guests at the holiday party	grabbed	True
s_xb	I know that with gusto _ grabbed _ the food in front of the guests at the holiday party	grabbed	True
s_ax	I know who with gusto _ our uncle _ grabbed the food in front of the guests at the holiday party	our,uncle	True
s_xx	I know that with gusto _ our uncle _ grabbed the food in front of the guests at the holiday party	our,uncle	True
s_ab	My neighbor told me who with skill _ caught _ the mouse for his neighbors yesterday	caught	True
s_xb	My neighbor told me that with skill _ caught _ the mouse for his neighbors yesterday	caught	True
s_ax	My neighbor told me who with skill _ the dog _ caught the mouse for his neighbors yesterday	the,dog	True
s_xx	My neighbor told me that with skill _ the dog _ caught the mouse for his neighbors yesterday	the,dog	True
s_ab	I know what with passion _ delivered _ the report to the president by the deadline	delivered	True
s_xb	I know that with passion _ delivered _ the report to the president by the deadline	delivered	True
s_ax	I know what with passion _ the committee _ delivered the report to the president by the deadline	the,committee	True
s_xx	I know that with passion _ the committee _ delivered the report to the president by the deadline	the,committee	True
s_ab	You remember who without thinking _ showed _ the presentation to the visitors after lunch	showed	True
s_xb	You remember that without thinking _ showed _ the presentation to the visitors after lunch	showed	True
s_ax	You remember who without thinking _ the businessman _ showed the presentation to the visitors after lunch	the,businessman	True
s_xx	You remember that without thinking _ the businessman _ showed the presentation to the visitors after lunch	the,businessman	True
s_ab	She told me who secretly _ stole _ answers to the test from the teacher last year	stole	True
s_xb	She told me that secretly _ stole _ answers to the test from the teacher last year	stole	True
s_ax	She told me who secretly _ the star student _ stole answers to the test from the teacher last year	the,star,student	True
s_xx	She told me that secretly _ the star student _ stole answers to the test from the teacher last year	the,star,student	True
s_ab	She knows who with skill _ forged _ the painting with a brush a short while ago	forged	True
s_xb	She knows that with skill _ forged _ the painting with a brush a short while ago	forged	True
s_ax	She knows who with skill _ the collector _ forged the painting with a brush a short while ago	the,collector	True
s_xx	She knows that with skill _ the collector _ forged the painting with a brush a short while ago	the,collector	True
s_ab	We all remember who illegally _ brought _ a gun into the prison two weeks ago	brought	True
s_xb	We all remember that illegally _ brought _ a gun into the prison two weeks ago	brought	True
s_ax	We all remember who illegally _ the convict _ brought a gun into the prison two weeks ago	the,convict	True
s_xx	We all remember that illegally _ the convict _ brought a gun into the prison two weeks ago	the,convict	True
s_ab	My friend reported who illegally _ sold _ multiple assets to stock holders last quarter	sold	True
s_xb	My friend reported that illegally _ sold _ multiple assets to stock holders last quarter	sold	True
s_ax	My friend reported who illegally _ the company _ sold multiple assets to stock holders last quarter	the,company	True
s_xx	My friend reported that illegally _ the company _ sold multiple assets to stock holders last quarter	the,company	True
s_ab	I do not know who with malice _ derailed _ the performance with a cruel plan last week	derailed	True
s_xb	I do not know that with malice _ derailed _ the performance with a cruel plan last week	derailed	True
s_ax	I do not know who with malice _ her rival _ derailed the performance with a cruel plan last week	her,rival	True
s_xx	I do not know that with malice _ her rival _ derailed the performance with a cruel plan last week	her,rival	True
s_ab	She can guess who with much fanfare _ received _ a prize for her hard work during the award ceremony	received	True
s_xb	She can guess that with much fanfare _ received _ a prize for her hard work during the award ceremony	received	True
s_ax	She can guess who with much fanfare _ the movie star _ received a prize for her hard work during the award ceremony	the,movie,star	True
s_xx	She can guess that with much fanfare _ the movie star _ received a prize for her hard work during the award ceremony	the,movie,star	True
s_ab	The newspaper reported who brutally _ killed _ the witness with a gun in the middle of the night	killed	True
s_xb	The newspaper reported that brutally _ killed _ the witness with a gun in the middle of the night	killed	True
s_ax	The newspaper reported who brutally _ the suspect _ killed the witness with a gun in the middle of the night	the,suspect	True
s_xx	The newspaper reported that brutally _ the suspect _ killed the witness with a gun in the middle of the night	the,suspect	True
s_ab	We recall who clumsily _ placed _ a delicate plate next to the oven over an hour ago	placed	True
s_xb	We recall that clumsily _ placed _ a delicate plate next to the oven over an hour ago	placed	True
s_ax	We recall who clumsily _ the man _ placed a delicate plate next to the oven over an hour ago	the,man	True
s_xx	We recall that clumsily _ the man _ placed a delicate plate next to the oven over an hour ago	the,man	True
s_ab	I remember who with skill _ administered _ the new medicine to the patient without any delay	administered	True
s_xb	I remember that with skill _ administered _ the new medicine to the patient without any delay	administered	True
s_ax	I remember who with skill _ the nurse _ administered the new medicine to the patient without any delay	the,nurse	True
s_xx	I remember that with skill _ the nurse _ administered the new medicine to the patient without any delay	the,nurse	True
s_ab	Our friend knew who without tact _ revealed _ family secrets to the public yesterday	revealed	True
s_xb	Our friend knew that without tact _ revealed _ family secrets to the public yesterday	revealed	True
s_ax	Our friend knew who without tact _ the gossip column _ revealed family secrets to the public yesterday	the,gossip,column	True
s_xx	Our friend knew that without tact _ the gossip column _ revealed family secrets to the public yesterday	the,gossip,column	True
s_ab	The mayor told me who with public funds _ repaired _ the bridge for the town over the summer	repaired	True
s_xb	The mayor told me that with public funds _ repaired _ the bridge for the town over the summer	repaired	True
s_ax	The mayor told me who with public funds _ the workers _ repaired the bridge for the town over the summer	the,workers	True
s_xx	The mayor told me that with public funds _ the workers _ repaired the bridge for the town over the summer	the,workers	True
s_ab	My friend remembers what secretly _ collected _ sensitive data about foreign threats using illegal methods	collected	True
s_xb	My friend remembers that secretly _ collected _ sensitive data about foreign threats using illegal methods	collected	True
s_ax	My friend remembers what secretly _ the government _ collected sensitive data about foreign threats using illegal methods	the,government	True
s_xx	My friend remembers that secretly _ the government _ collected sensitive data about foreign threats using illegal methods	the,government	True
s_ab	The newspaper said who secretly _ sold _ a convertible to the new couple last month	sold	True
s_xb	The newspaper said that secretly _ sold _ a convertible to the new couple last month	sold	True
s_ax	The newspaper said who secretly _ the neighbors _ sold a convertible to the new couple last month	the,neighbors	True
s_xx	The newspaper said that secretly _ the neighbors _ sold a convertible to the new couple last month	the,neighbors	True
s_ab	Our neighbor said who we believe _ sent _ a package to her mother over a week ago	sent	True
s_xb	Our neighbor said that we believe _ sent _ a package to her mother over a week ago	sent	True
s_ax	Our neighbor said who we believe _ the student _ sent a package to her mother over a week ago	the,student	True
s_xx	Our neighbor said that we believe _ the student _ sent a package to her mother over a week ago	the,student	True
s_ab	My friend told me what recently _ hired _ a new administrator to help with increased enrollment for the following year	hired	True
s_xb	My friend told me that recently _ hired _ a new administrator to help with increased enrollment for the following year	hired	True
s_ax	My friend told me what recently _ the university _ hired a new administrator to help with increased enrollment for the following year	the,university	True
s_xx	My friend told me that recently _ the university _ hired a new administrator to help with increased enrollment for the following year	the,university	True
s_ab	She can not believe who recently _ stole _ a candy bar from the store when he was young	stole	True
s_xb	She can not believe that recently _ stole _ a candy bar from the store when he was young	stole	True
s_ax	She can not believe who recently _ my friend _ stole a candy bar from the store when he was young	my,friend	True
s_xx	She can not believe that recently _ my friend _ stole a candy bar from the store when he was young	my,friend	True
s_ab	Our neighbor reminded us what with effort _ dragged _ the car out of the swamp last spring	dragged	True
s_xb	Our neighbor reminded us that with effort _ dragged _ the car out of the swamp last spring	dragged	True
s_ax	Our neighbor reminded us what with effort _ the truck _ dragged the car out of the swamp last spring	the,truck	True
s_xx	Our neighbor reminded us that with effort _ the truck _ dragged the car out of the swamp last spring	the,truck	True
s_ab	The shop owner told me who with care _ prepared _ a great meal for the guests yesterday evening	prepared	True
s_xb	The shop owner told me that with care _ prepared _ a great meal for the guests yesterday evening	prepared	True
s_ax	The shop owner told me who with care _ the chef _ prepared a great meal for the guests yesterday evening	the,chef	True
s_xx	The shop owner told me that with care _ the chef _ prepared a great meal for the guests yesterday evening	the,chef	True
s_ab	My sister told me what we believe _ published _ a long story about the mayor last month	published	True
s_xb	My sister told me that we believe _ published _ a long story about the mayor last month	published	True
s_ax	My sister told me what we believe _ the newspaper _ published a long story about the mayor last month	the,newspaper	True
