	model	constr	-gap effect	+gap effect	effectDifference	-gap direction	+gap direction	term	estimate	p_value	sig	estimateDirection
0	baseline	eval_cleft	2.325954861111111	-2.651556069958848	4.9775109310699595	p	n	filler:gap	-1.24437773276749	7.605517313575476e-141	***	n
1	baseline	eval_intro_topic	0.5390785751028807	-0.10628858024691358	0.6453671553497943	p	n	filler:gap	-0.1613417888374485	0.0001242284771379	***	n
2	baseline	eval_nointro_topic	-0.3016493055555556	0.3917824074074074	0.693431712962963	n	p	filler:gap	0.1733579282407407	0.0257016425255054	*	p
3	baseline	eval_tough	2.3035300925925926	-0.599022633744856	2.9025527263374484	p	n	filler:gap	-0.7256381815843621	6.575641996195343e-31	***	n
4	baseline	eval_wh	0.5655900065104166	-1.861389973958333	2.4269799804687495	p	n	filler:gap	-0.6067449951171875	0.0014215625414784	**	n
5	model_1_1	eval_cleft	3.4322112911522633	-2.7168852880658436	6.1490965792181065	p	n	filler:gap	-1.537274144804527	2.986699644449113e-175	***	n
6	model_1_1	eval_intro_topic	-0.007699974279835391	-1.1508487654320987	1.1431487911522633	n	n	filler:gap	-0.2857871977880659	2.070730103172966e-08	***	n
7	model_1_1	eval_nointro_topic	0.33567226080246915	-1.0219907407407407	1.3576630015432098	p	n	filler:gap	-0.3394157503858024	8.795145987137802e-05	***	n
8	model_1_1	eval_tough	3.714891975308642	-3.2542438271604937	6.969135802469136	p	n	filler:gap	-1.7422839506172838	1.482577711095383e-119	***	n
9	model_1_1	eval_wh	1.2948177083333337	-2.0388736979166664	3.33369140625	p	n	filler:gap	-0.8334228515625	0.0003634178023682	***	n
10	model_2_2	eval_cleft	1.625072337962963	-4.219650205761317	5.84472254372428	p	n	filler:gap	-1.46118063593107	4.1258877918654226e-108	***	n
11	model_2_2	eval_intro_topic	2.331685635288066	-3.8549382716049383	6.186623906893004	p	n	filler:gap	-1.546655976723251	9.663480480465332e-107	***	n
12	model_2_2	eval_nointro_topic	2.6635320216049383	-3.521990740740741	6.185522762345679	p	n	filler:gap	-1.5463806905864197	3.7446225316668296e-39	***	n
13	model_2_2	eval_tough	2.681327160493827	-6.533227237654321	9.214554398148149	p	n	filler:gap	-2.303638599537037	3.556873101826719e-112	***	n
14	model_2_2	eval_wh	0.9322395833333331	-2.890390625	3.8226302083333334	p	n	filler:gap	-0.9556575520833334	0.0003814519522032	***	n
15	model_1_2	eval_cleft	-1.458590534979424	-2.216113683127572	0.7575231481481479	n	n	filler:gap	-0.189380787037037	0.0009022034741746	***	n
16	model_1_2	eval_intro_topic	-0.05844907407407408	-1.7897376543209877	1.7312885802469136	n	n	filler:gap	-0.4328221450617284	8.41388186059787e-16	***	n
17	model_1_2	eval_nointro_topic	-0.6739004629629629	-1.4398148148148149	0.765914351851852	n	n	filler:gap	-0.1914785879629629	0.0762078307160485	.	n
18	model_1_2	eval_tough	0.6840277777777778	-4.0246913580246915	4.708719135802469	p	n	filler:gap	-1.1771797839506173	4.9985293934656045e-33	***	n
19	model_1_2	eval_wh	-0.5384716796874999	-1.4914680989583333	0.9529964192708335	n	n	filler:gap	-0.2382491048177083	0.3408256710642636		n
20	model_2_1	eval_cleft	9.482309349279836	-1.823752572016461	11.306061921296298	p	n	filler:gap	-2.8265154803240744	0.0	***	n
21	model_2_1	eval_intro_topic	1.43481545781893	-0.8386059670781894	2.273421424897119	p	n	filler:gap	-0.5683553562242799	3.087541689938975e-25	***	n
22	model_2_1	eval_nointro_topic	1.5770158179012346	-0.3726851851851852	1.9497010030864197	p	n	filler:gap	-0.4874252507716049	1.1288632350403417e-07	***	n
23	model_2_1	eval_tough	3.8935185185185186	-1.1742058899176955	5.067724408436214	p	n	filler:gap	-1.2669311021090537	1.53460079368902e-40	***	n
24	model_2_1	eval_wh	-0.008897705078124958	-1.671326904296875	1.66242919921875	n	n	filler:gap	-0.4156072998046875	0.123093006210879		n
