condition	tokens	criticalwords	grammaticality
s_ab	I know who with gusto our uncle grabbed the food in front of _ at the holiday party _	at,the,holiday,party	True
s_xb	I know that with gusto our uncle grabbed the food in front of _ at the holiday party _	at,the,holiday,party	True
s_ax	I know who with gusto our uncle grabbed the food in front of _ the guests _ at the holiday party	the,guests	True
s_xx	I know that with gusto our uncle grabbed the food in front of _ the guests _ at the holiday party	the,guests	True
s_ab	My neighbor told me who with skill the dog caught the mouse for _ yesterday _	yesterday	True
s_xb	My neighbor told me that with skill the dog caught the mouse for _ yesterday _	yesterday	True
s_ax	My neighbor told me who with skill the dog caught the mouse for _ his neighbors _ yesterday	his,neighbors	True
s_xx	My neighbor told me that with skill the dog caught the mouse for _ his neighbors _ yesterday	his,neighbors	True
s_ab	I know who with passion the committee delivered the report to _ by the deadline _	by,the,deadline	True
s_xb	I know that with passion the committee delivered the report to _ by the deadline _	by,the,deadline	True
s_ax	I know who with passion the committee delivered the report to _ the president _ by the deadline	the,president	True
s_xx	I know that with passion the committee delivered the report to _ the president _ by the deadline	the,president	True
s_ab	You remember who without thinking the businessman showed the presentation to _ after lunch _	after,lunch	True
s_xb	You remember that without thinking the businessman showed the presentation to _ after lunch _	after,lunch	True
s_ax	You remember who without thinking the businessman showed the presentation to _ the visitors _ after lunch	the,visitors	True
s_xx	You remember that without thinking the businessman showed the presentation to _ the visitors _ after lunch	the,visitors	True
s_ab	She told me who secretly the star student stole answers to the test from _ last year _	last,year	True
s_xb	She told me that secretly the star student stole answers to the test from _ last year _	last,year	True
s_ax	She told me who secretly the star student stole answers to the test from _ the teacher _ last year	the,teacher	True
s_xx	She told me that secretly the star student stole answers to the test from _ the teacher _ last year	the,teacher	True
s_ab	She knows what with skill the collector forged the painting with _ a short while ago _	a,short,while,ago	True
s_xb	She knows that with skill the collector forged the painting with _ a short while ago _	a,short,while,ago	True
s_ax	She knows what with skill the collector forged the painting with _ a brush _ a short while ago	a,brush	True
s_xx	She knows that with skill the collector forged the painting with _ a brush _ a short while ago	a,brush	True
s_ab	We all remember what illegally the convict brought a gun into _ two weeks ago _	two,weeks,ago	True
s_xb	We all remember that illegally the convict brought a gun into _ two weeks ago _	two,weeks,ago	True
s_ax	We all remember what illegally the convict brought a gun into _ the prison _ two weeks ago	the,prison	True
s_xx	We all remember that illegally the convict brought a gun into _ the prison _ two weeks ago	the,prison	True
s_ab	My friend reported who illegally the company sold multiple assets to _ last quarter _	last,quarter	True
s_xb	My friend reported that illegally the company sold multiple assets to _ last quarter _	last,quarter	True
s_ax	My friend reported who illegally the company sold multiple assets to _ stock holders _ last quarter	stock,holders	True
s_xx	My friend reported that illegally the company sold multiple assets to _ stock holders _ last quarter	stock,holders	True
s_ab	I do not know what with malice her rival derailed the performance with _ last week _	last,week	True
s_xb	I do not know that with malice her rival derailed the performance with _ last week _	last,week	True
s_ax	I do not know what with malice her rival derailed the performance with _ a cruel plan _ last week	a,cruel,plan	True
s_xx	I do not know that with malice her rival derailed the performance with _ a cruel plan _ last week	a,cruel,plan	True
s_ab	She can guess what with much fanfare the movie star received a prize for _ during the award ceremony _	during,the,award,ceremony	True
s_xb	She can guess that with much fanfare the movie star received a prize for _ during the award ceremony _	during,the,award,ceremony	True
s_ax	She can guess what with much fanfare the movie star received a prize for _ her hard work _ during the award ceremony	her,hard,work	True
s_xx	She can guess that with much fanfare the movie star received a prize for _ her hard work _ during the award ceremony	her,hard,work	True
s_ab	The newspaper reported what brutally the suspect killed the witness with _ in the middle of the night _	in,the,middle,of,the,night	True
s_xb	The newspaper reported that brutally the suspect killed the witness with _ in the middle of the night _	in,the,middle,of,the,night	True
s_ax	The newspaper reported what brutally the suspect killed the witness with _ a gun _ in the middle of the night	a,gun	True
s_xx	The newspaper reported that brutally the suspect killed the witness with _ a gun _ in the middle of the night	a,gun	True
s_ab	We recall what clumsily the man placed a delicate plate next to _ over an hour ago _	over,an,hour,ago	True
s_xb	We recall that clumsily the man placed a delicate plate next to _ over an hour ago _	over,an,hour,ago	True
s_ax	We recall what clumsily the man placed a delicate plate next to _ the oven _ over an hour ago	the,oven	True
s_xx	We recall that clumsily the man placed a delicate plate next to _ the oven _ over an hour ago	the,oven	True
s_ab	I remember who with skill the nurse administered the new medicine to _ without any delay _	without,any,delay	True
s_xb	I remember that with skill the nurse administered the new medicine to _ without any delay _	without,any,delay	True
s_ax	I remember who with skill the nurse administered the new medicine to _ the patient _ without any delay	the,patient	True
s_xx	I remember that with skill the nurse administered the new medicine to _ the patient _ without any delay	the,patient	True
s_ab	Our friend knew who without tact the gossip column revealed family secrets to _ yesterday _	yesterday	True
s_xb	Our friend knew that without tact the gossip column revealed family secrets to _ yesterday _	yesterday	True
s_ax	Our friend knew who without tact the gossip column revealed family secrets to _ the public _ yesterday	the,public	True
s_xx	Our friend knew that without tact the gossip column revealed family secrets to _ the public _ yesterday	the,public	True
s_ab	The mayor told me what with public funds the workers repaired the bridge for _ over the summer _	over,the,summer	True
s_xb	The mayor told me that with public funds the workers repaired the bridge for _ over the summer _	over,the,summer	True
s_ax	The mayor told me what with public funds the workers repaired the bridge for _ the town _ over the summer	the,town	True
s_xx	The mayor told me that with public funds the workers repaired the bridge for _ the town _ over the summer	the,town	True
s_ab	My friend remembers what secretly the government collected sensitive data about _ using illegal methods _	using,illegal,methods	True
s_xb	My friend remembers that secretly the government collected sensitive data about _ using illegal methods _	using,illegal,methods	True
s_ax	My friend remembers what secretly the government collected sensitive data about _ foreign threats _ using illegal methods	foreign,threats	True
s_xx	My friend remembers that secretly the government collected sensitive data about _ foreign threats _ using illegal methods	foreign,threats	True
s_ab	The newspaper said who secretly the neighbors sold a convertible to _ last month _	last,month	True
s_xb	The newspaper said that secretly the neighbors sold a convertible to _ last month _	last,month	True
s_ax	The newspaper said who secretly the neighbors sold a convertible to _ the new couple _ last month	the,new,couple	True
s_xx	The newspaper said that secretly the neighbors sold a convertible to _ the new couple _ last month	the,new,couple	True
s_ab	Our neighbor said who we believe the student sent a package to _ over a week ago _	over,a,week,ago	True
s_xb	Our neighbor said that we believe the student sent a package to _ over a week ago _	over,a,week,ago	True
s_ax	Our neighbor said who we believe the student sent a package to _ her mother _ over a week ago	her,mother	True
s_xx	Our neighbor said that we believe the student sent a package to _ her mother _ over a week ago	her,mother	True
s_ab	My friend told me what recently the university hired a new administrator to help with _ for the following year _	for,the,following,year	True
s_xb	My friend told me that recently the university hired a new administrator to help with _ for the following year _	for,the,following,year	True
s_ax	My friend told me what recently the university hired a new administrator to help with _ increased enrollment _ for the following year	increased,enrollment	True
s_xx	My friend told me that recently the university hired a new administrator to help with _ increased enrollment _ for the following year	increased,enrollment	True
s_ab	She can not believe what recently my friend stole a candy bar from _ when he was young _	when,he,was,young	True
s_xb	She can not believe that recently my friend stole a candy bar from _ when he was young _	when,he,was,young	True
s_ax	She can not believe what recently my friend stole a candy bar from _ the store _ when he was young	the,store	True
s_xx	She can not believe that recently my friend stole a candy bar from _ the store _ when he was young	the,store	True
s_ab	Our neighbor reminded us what with effort the truck dragged the car out of _ last spring _	last,spring	True
s_xb	Our neighbor reminded us that with effort the truck dragged the car out of _ last spring _	last,spring	True
s_ax	Our neighbor reminded us what with effort the truck dragged the car out of _ the swamp _ last spring	the,swamp	True
s_xx	Our neighbor reminded us that with effort the truck dragged the car out of _ the swamp _ last spring	the,swamp	True
s_ab	The shop owner told me who with care the chef prepared a great meal for _ yesterday evening _	yesterday,evening	True
