condition	tokens	criticalwords	grammaticality
s_ab	I know what with gusto our uncle grabbed _ in front of _ the guests at the holiday party	in,front,of	True
s_xb	I know that with gusto our uncle grabbed _ in front of _ the guests at the holiday party	in,front,of	True
s_ax	I know what with gusto our uncle grabbed _ the food _ in front of the guests at the holiday party	the,food	True
s_xx	I know that with gusto our uncle grabbed _ the food _ in front of the guests at the holiday party	the,food	True
s_ab	My neighbor told me what with skill the dog caught _ for _ his neighbors yesterday	for	True
s_xb	My neighbor told me that with skill the dog caught _ for _ his neighbors yesterday	for	True
s_ax	My neighbor told me what with skill the dog caught _ the mouse _ for his neighbors yesterday	the,mouse	True
s_xx	My neighbor told me that with skill the dog caught _ the mouse _ for his neighbors yesterday	the,mouse	True
s_ab	I know what with passion the committee delivered _ to _ the president by the deadline	to	True
s_xb	I know that with passion the committee delivered _ to _ the president by the deadline	to	True
s_ax	I know what with passion the committee delivered _ the report _ to the president by the deadline	the,report	True
s_xx	I know that with passion the committee delivered _ the report _ to the president by the deadline	the,report	True
s_ab	You remember what without thinking the businessman showed _ to _ the visitors after lunch	to	True
s_xb	You remember that without thinking the businessman showed _ to _ the visitors after lunch	to	True
s_ax	You remember what without thinking the businessman showed _ the presentation _ to the visitors after lunch	the,presentation	True
s_xx	You remember that without thinking the businessman showed _ the presentation _ to the visitors after lunch	the,presentation	True
s_ab	She told me what secretly the star student stole _ from _ the teacher last year	from	True
s_xb	She told me that secretly the star student stole _ from _ the teacher last year	from	True
s_ax	She told me what secretly the star student stole _ answers to the test _ from the teacher last year	answers,to,the,test	True
s_xx	She told me that secretly the star student stole _ answers to the test _ from the teacher last year	answers,to,the,test	True
s_ab	She knows what with skill the collector forged _ with _ a brush a short while ago	with	True
s_xb	She knows that with skill the collector forged _ with _ a brush a short while ago	with	True
s_ax	She knows what with skill the collector forged _ the painting _ with a brush a short while ago	the,painting	True
s_xx	She knows that with skill the collector forged _ the painting _ with a brush a short while ago	the,painting	True
s_ab	We all remember what illegally the convict brought _ into _ the prison two weeks ago	into	True
s_xb	We all remember that illegally the convict brought _ into _ the prison two weeks ago	into	True
s_ax	We all remember what illegally the convict brought _ a gun _ into the prison two weeks ago	a,gun	True
s_xx	We all remember that illegally the convict brought _ a gun _ into the prison two weeks ago	a,gun	True
s_ab	My friend reported what illegally the company sold _ to _ stock holders last quarter	to	True
s_xb	My friend reported that illegally the company sold _ to _ stock holders last quarter	to	True
s_ax	My friend reported what illegally the company sold _ multiple assets _ to stock holders last quarter	multiple,assets	True
s_xx	My friend reported that illegally the company sold _ multiple assets _ to stock holders last quarter	multiple,assets	True
s_ab	I do not know what with malice her rival derailed _ with _ a cruel plan last week	with	True
