model	constr	-gap effect	+gap effect	effectDifference	-gap direction	+gap direction
baseline	eval_cleft	0.198	-1.247	1.445	p	n
baseline	eval_intro_topic	0.259	0.180	0.079	p	p
baseline	eval_nointro_topic	0.108	0.660	0.551	p	p
baseline	eval_tough	1.567	-1.277	2.845	p	n
baseline	eval_wh	0.789	-1.029	1.817	p	n
model_1_1	eval_cleft	0.085	-0.737	0.822	p	n
model_1_1	eval_intro_topic	0.247	-0.003	0.250	p	n
model_1_1	eval_nointro_topic	0.305	-0.013	0.318	p	n
model_1_1	eval_tough	0.322	-0.395	0.717	p	n
model_1_1	eval_wh	1.310	-0.890	2.200	p	n
model_1_2	eval_cleft	-3.908	-1.222	2.686	n	n
model_1_2	eval_intro_topic	-1.516	-0.099	1.416	n	n
model_1_2	eval_nointro_topic	-0.722	-0.632	0.090	n	n
model_1_2	eval_tough	-0.277	-0.528	0.251	n	n
model_1_2	eval_wh	-0.941	-1.525	0.584	n	n
model_2_1	eval_cleft	2.099	-0.190	2.289	p	n
model_2_1	eval_intro_topic	0.105	0.110	0.004	p	p
model_2_1	eval_nointro_topic	0.282	-0.206	0.488	p	n
model_2_1	eval_tough	0.801	1.837	1.036	p	p
model_2_1	eval_wh	0.216	-0.668	0.884	p	n
model_2_2	eval_cleft	1.437	-0.140	1.577	p	n
model_2_2	eval_intro_topic	1.250	0.273	0.977	p	p
model_2_2	eval_nointro_topic	0.918	0.105	0.814	p	p
model_2_2	eval_tough	2.345	-3.616	5.961	p	n
model_2_2	eval_wh	0.429	-2.896	3.325	p	n
