group	condition	tokens	grammaticality
0	s_ab	It is these pizzas that Susan lifted carefully	True
0	s_xx	It is obvious that Susan lifted your jacket carefully	True
1	s_ab	It is these pizzas that Susan lifted without falling	True
1	s_xx	It is obvious that Susan lifted your jacket without falling	True
2	s_ab	It is these pizzas that Susan lifted quickly	True
2	s_xx	It is obvious that Susan lifted your jacket quickly	True
3	s_ab	It is these pizzas that Susan lifted carefully	True
3	s_xx	It is obvious that Susan lifted a phone carefully	True
4	s_ab	It is these pizzas that Susan lifted without falling	True
4	s_xx	It is obvious that Susan lifted a phone without falling	True
5	s_ab	It is these pizzas that Susan lifted quickly	True
5	s_xx	It is obvious that Susan lifted a phone quickly	True
6	s_ab	It is these pizzas that Susan lifted carefully	True
6	s_xx	It is obvious that Susan lifted the paperwork carefully	True
7	s_ab	It is these pizzas that Susan lifted without falling	True
7	s_xx	It is obvious that Susan lifted the paperwork without falling	True
8	s_ab	It is these pizzas that Susan lifted quickly	True
8	s_xx	It is obvious that Susan lifted the paperwork quickly	True
9	s_ab	It is these pizzas that Susan stole carefully	True
9	s_xx	It is obvious that Susan stole your jacket carefully	True
10	s_ab	It is these pizzas that Susan stole without falling	True
10	s_xx	It is obvious that Susan stole your jacket without falling	True
11	s_ab	It is these pizzas that Susan stole quickly	True
11	s_xx	It is obvious that Susan stole your jacket quickly	True
12	s_ab	It is these pizzas that Susan stole carefully	True
12	s_xx	It is obvious that Susan stole a phone carefully	True
13	s_ab	It is these pizzas that Susan stole without falling	True
13	s_xx	It is obvious that Susan stole a phone without falling	True
14	s_ab	It is these pizzas that Susan stole quickly	True
14	s_xx	It is obvious that Susan stole a phone quickly	True
15	s_ab	It is these pizzas that Susan stole carefully	True
15	s_xx	It is obvious that Susan stole the paperwork carefully	True
16	s_ab	It is these pizzas that Susan stole without falling	True
16	s_xx	It is obvious that Susan stole the paperwork without falling	True
17	s_ab	It is these pizzas that Susan stole quickly	True
17	s_xx	It is obvious that Susan stole the paperwork quickly	True
18	s_ab	It is these pizzas that Susan threw carefully	True
18	s_xx	It is obvious that Susan threw your jacket carefully	True
19	s_ab	It is these pizzas that Susan threw without falling	True
19	s_xx	It is obvious that Susan threw your jacket without falling	True
20	s_ab	It is these pizzas that Susan threw quickly	True
20	s_xx	It is obvious that Susan threw your jacket quickly	True
21	s_ab	It is these pizzas that Susan threw carefully	True
21	s_xx	It is obvious that Susan threw a phone carefully	True
22	s_ab	It is these pizzas that Susan threw without falling	True
22	s_xx	It is obvious that Susan threw a phone without falling	True
23	s_ab	It is these pizzas that Susan threw quickly	True
23	s_xx	It is obvious that Susan threw a phone quickly	True
24	s_ab	It is these pizzas that Susan threw carefully	True
24	s_xx	It is obvious that Susan threw the paperwork carefully	True
25	s_ab	It is these pizzas that Susan threw without falling	True
25	s_xx	It is obvious that Susan threw the paperwork without falling	True
26	s_ab	It is these pizzas that Susan threw quickly	True
26	s_xx	It is obvious that Susan threw the paperwork quickly	True
27	s_ab	It is these pizzas that Michelle lifted carefully	True
27	s_xx	It is obvious that Michelle lifted your jacket carefully	True
28	s_ab	It is these pizzas that Michelle lifted without falling	True
28	s_xx	It is obvious that Michelle lifted your jacket without falling	True
29	s_ab	It is these pizzas that Michelle lifted quickly	True
29	s_xx	It is obvious that Michelle lifted your jacket quickly	True
30	s_ab	It is these pizzas that Michelle lifted carefully	True
30	s_xx	It is obvious that Michelle lifted a phone carefully	True
31	s_ab	It is these pizzas that Michelle lifted without falling	True
31	s_xx	It is obvious that Michelle lifted a phone without falling	True
32	s_ab	It is these pizzas that Michelle lifted quickly	True
32	s_xx	It is obvious that Michelle lifted a phone quickly	True
33	s_ab	It is these pizzas that Michelle lifted carefully	True
33	s_xx	It is obvious that Michelle lifted the paperwork carefully	True
34	s_ab	It is these pizzas that Michelle lifted without falling	True
34	s_xx	It is obvious that Michelle lifted the paperwork without falling	True
