condition	tokens	criticalwords	grammaticality
s_ab	these snacks, Mary bought _ yesterday _	yesterday	True
s_xb	in fact, Mary bought _ yesterday _	yesterday	False
s_ax	these snacks, Mary bought _ the cheese _ yesterday	the,cheese	False
s_xx	in fact, Mary bought _ the cheese _ yesterday	the,cheese	True
s_ab	these snacks, Mary bought _ recently _	recently	True
s_xb	in fact, Mary bought _ recently _	recently	False
s_ax	these snacks, Mary bought _ the cheese _ recently	the,cheese	False
s_xx	in fact, Mary bought _ the cheese _ recently	the,cheese	True
s_ab	these snacks, Mary bought _ earlier _	earlier	True
s_xb	in fact, Mary bought _ earlier _	earlier	False
s_ax	these snacks, Mary bought _ the cheese _ earlier	the,cheese	False
s_xx	in fact, Mary bought _ the cheese _ earlier	the,cheese	True
s_ab	these snacks, Mary bought _ yesterday _	yesterday	True
s_xb	in fact, Mary bought _ yesterday _	yesterday	False
s_ax	these snacks, Mary bought _ your hat _ yesterday	your,hat	False
s_xx	in fact, Mary bought _ your hat _ yesterday	your,hat	True
s_ab	these snacks, Mary bought _ recently _	recently	True
s_xb	in fact, Mary bought _ recently _	recently	False
s_ax	these snacks, Mary bought _ your hat _ recently	your,hat	False
s_xx	in fact, Mary bought _ your hat _ recently	your,hat	True
s_ab	these snacks, Mary bought _ earlier _	earlier	True
s_xb	in fact, Mary bought _ earlier _	earlier	False
s_ax	these snacks, Mary bought _ your hat _ earlier	your,hat	False
s_xx	in fact, Mary bought _ your hat _ earlier	your,hat	True
s_ab	these snacks, Mary bought _ yesterday _	yesterday	True
s_xb	in fact, Mary bought _ yesterday _	yesterday	False
s_ax	these snacks, Mary bought _ our keys _ yesterday	our,keys	False
s_xx	in fact, Mary bought _ our keys _ yesterday	our,keys	True
s_ab	these snacks, Mary bought _ recently _	recently	True
s_xb	in fact, Mary bought _ recently _	recently	False
s_ax	these snacks, Mary bought _ our keys _ recently	our,keys	False
s_xx	in fact, Mary bought _ our keys _ recently	our,keys	True
s_ab	these snacks, Mary bought _ earlier _	earlier	True
s_xb	in fact, Mary bought _ earlier _	earlier	False
s_ax	these snacks, Mary bought _ our keys _ earlier	our,keys	False
s_xx	in fact, Mary bought _ our keys _ earlier	our,keys	True
s_ab	these snacks, Mary saw _ yesterday _	yesterday	True
s_xb	in fact, Mary saw _ yesterday _	yesterday	False
s_ax	these snacks, Mary saw _ the cheese _ yesterday	the,cheese	False
s_xx	in fact, Mary saw _ the cheese _ yesterday	the,cheese	True
s_ab	these snacks, Mary saw _ recently _	recently	True
s_xb	in fact, Mary saw _ recently _	recently	False
s_ax	these snacks, Mary saw _ the cheese _ recently	the,cheese	False
s_xx	in fact, Mary saw _ the cheese _ recently	the,cheese	True
s_ab	these snacks, Mary saw _ earlier _	earlier	True
s_xb	in fact, Mary saw _ earlier _	earlier	False
s_ax	these snacks, Mary saw _ the cheese _ earlier	the,cheese	False
s_xx	in fact, Mary saw _ the cheese _ earlier	the,cheese	True
