condition	tokens	criticalwords	grammaticality
s_ab	I know who the family from the big city saw _ last year _	last,year	True
s_xb	I know that the family from the big city saw _ last year _	last,year	False
s_ax	I know who the family from the big city saw _ the general _ last year	the,general	False
s_xx	I know that the family from the big city saw _ the general _ last year	the,general	True
s_ab	I remember what the woman with the blue hat bought _ yesterday _	yesterday	True
s_xb	I remember that the woman with the blue hat bought _ yesterday _	yesterday	False
s_ax	I remember what the woman with the blue hat bought _ a gift card _ yesterday	a,gift,card	False
s_xx	I remember that the woman with the blue hat bought _ a gift card _ yesterday	a,gift,card	True
s_ab	The newspaper reported who the man from far away liked _ recently _	recently	True
s_xb	The newspaper reported that the man from far away liked _ recently _	recently	False
s_ax	The newspaper reported who the man from far away liked _ the actress _ recently	the,actress	False
s_xx	The newspaper reported that the man from far away liked _ the actress _ recently	the,actress	True
s_ab	She told me what the executive with the red tie discovered _ last quarter _	last,quarter	True
s_xb	She told me that the executive with the red tie discovered _ last quarter _	last,quarter	False
s_ax	She told me what the executive with the red tie discovered _ illegal activity _ last quarter	illegal,activity	False
s_xx	She told me that the executive with the red tie discovered _ illegal activity _ last quarter	illegal,activity	True
s_ab	He knows who the lawyer in the dark suit believed _ last month _	last,month	True
s_xb	He knows that the lawyer in the dark suit believed _ last month _	last,month	False
s_ax	He knows who the lawyer in the dark suit believed _ the defendant _ last month	the,defendant	False
s_xx	He knows that the lawyer in the dark suit believed _ the defendant _ last month	the,defendant	True
s_ab	You remember what the president from the foreign nation promised _ recently _	recently	True
s_xb	You remember that the president from the foreign nation promised _ recently _	recently	False
s_ax	You remember what the president from the foreign nation promised _ improvements _ recently	improvements	False
s_xx	You remember that the president from the foreign nation promised _ improvements _ recently	improvements	True
s_ab	The newspaper reported who the policeman in the blue uniform knew _ for a long time _	for,a,long,time	True
s_xb	The newspaper reported that the policeman in the blue uniform knew _ for a long time _	for,a,long,time	False
s_ax	The newspaper reported who the policeman in the blue uniform knew _ the judge _ for a long time	the,judge	False
s_xx	The newspaper reported that the policeman in the blue uniform knew _ the judge _ for a long time	the,judge	True
s_ab	what the accountant from the rival firm saw _ last week _	last,week	True
s_xb	that the accountant from the rival firm saw _ last week _	last,week	False
s_ax	what the accountant from the rival firm saw _ the plans _ last week	the,plans	False
s_xx	that the accountant from the rival firm saw _ the plans _ last week	the,plans	True
s_ab	They recall who the nurse with the white shirt helped _ last night _	last,night	True
s_xb	They recall that the nurse with the white shirt helped _ last night _	last,night	False
s_ax	They recall who the nurse with the white shirt helped _ the surgeon _ last night	the,surgeon	False
s_xx	They recall that the nurse with the white shirt helped _ the surgeon _ last night	the,surgeon	True
s_ab	He told me what the family from down the street criticized _ frequently _	frequently	True
s_xb	He told me that the family from down the street criticized _ frequently _	frequently	False
s_ax	He told me what the family from down the street criticized _ the government _ frequently	the,government	False
s_xx	He told me that the family from down the street criticized _ the government _ frequently	the,government	True
s_ab	She told me who the politician with the loud voice disliked _ last year _	last,year	True
s_xb	She told me that the politician with the loud voice disliked _ last year _	last,year	False
s_ax	She told me who the politician with the loud voice disliked _ the president _ last year	the,president	False
s_xx	She told me that the politician with the loud voice disliked _ the president _ last year	the,president	True
s_ab	He knows what the janitor with the black hair cleaned _ for a long time _	for,a,long,time	True
s_xb	He knows that the janitor with the black hair cleaned _ for a long time _	for,a,long,time	False
s_ax	He knows what the janitor with the black hair cleaned _ the computers _ for a long time	the,computers	False
s_xx	He knows that the janitor with the black hair cleaned _ the computers _ for a long time	the,computers	True
s_ab	He said what the mailman with the quick gait feared _ when he was young _	when,he,was,young	True
s_xb	He said that the mailman with the quick gait feared _ when he was young _	when,he,was,young	False
s_ax	He said what the mailman with the quick gait feared _ thunderstorms _ when he was young	thunderstorms	False
s_xx	He said that the mailman with the quick gait feared _ thunderstorms _ when he was young	thunderstorms	True
s_ab	The newspaper reported who the lawyer with the sly smile defended _ last year _	last,year	True
s_xb	The newspaper reported that the lawyer with the sly smile defended _ last year _	last,year	False
s_ax	The newspaper reported who the lawyer with the sly smile defended _ his friend _ last year	his,friend	False
s_xx	The newspaper reported that the lawyer with the sly smile defended _ his friend _ last year	his,friend	True
s_ab	You remember what the boy with the bond hair chased _ recently _	recently	True
s_xb	You remember that the boy with the bond hair chased _ recently _	recently	False
s_ax	You remember what the boy with the bond hair chased _ mice _ recently	mice	False
s_xx	You remember that the boy with the bond hair chased _ mice _ recently	mice	True
s_ab	He told me what the girl with the ponytail loved _ last summer _	last,summer	True
s_xb	He told me that the girl with the ponytail loved _ last summer _	last,summer	False
s_ax	He told me what the girl with the ponytail loved _ apples _ last summer	apples	False
s_xx	He told me that the girl with the ponytail loved _ apples _ last summer	apples	True
s_ab	He knows who the neighbor from down the street rebuked _ last year _	last,year	True
s_xb	He knows that the neighbor from down the street rebuked _ last year _	last,year	False
s_ax	He knows who the neighbor from down the street rebuked _ the planner _ last year	the,planner	False
s_xx	He knows that the neighbor from down the street rebuked _ the planner _ last year	the,planner	True
s_ab	They recall who the lady with the little dog admired _ last week _	last,week	True
s_xb	They recall that the lady with the little dog admired _ last week _	last,week	False
s_ax	They recall who the lady with the little dog admired _ the princess _ last week	the,princess	False
s_xx	They recall that the lady with the little dog admired _ the princess _ last week	the,princess	True
s_ab	The newspaper reported who the prince with the gold crown believed _ last winter _	last,winter	True
s_xb	The newspaper reported that the prince with the gold crown believed _ last winter _	last,winter	False
s_ax	The newspaper reported who the prince with the gold crown believed _ the queen _ last winter	the,queen	False
s_xx	The newspaper reported that the prince with the gold crown believed _ the queen _ last winter	the,queen	True
s_ab	You remember what the knight with the shiny armor saw _ last night _	last,night	True
s_xb	You remember that the knight with the shiny armor saw _ last night _	last,night	False
s_ax	You remember what the knight with the shiny armor saw _ the treasure _ last night	the,treasure	False
s_xx	You remember that the knight with the shiny armor saw _ the treasure _ last night	the,treasure	True
s_ab	She told me who the banker with the fancy suit met _ recently _	recently	True
s_xb	She told me that the banker with the fancy suit met _ recently _	recently	False
s_ax	She told me who the banker with the fancy suit met _ the investor _ recently	the,investor	False
s_xx	She told me that the banker with the fancy suit met _ the investor _ recently	the,investor	True
s_ab	He knows who the waitress in the white dress thanked _ after the meal _	after,the,meal	True
s_xb	He knows that the waitress in the white dress thanked _ after the meal _	after,the,meal	False
s_ax	He knows who the waitress in the white dress thanked _ the manager _ after the meal	the,manager	False
s_xx	He knows that the waitress in the white dress thanked _ the manager _ after the meal	the,manager	True
s_ab	I know who the priest in the black robe congratulated _ during the ceremony _	during,the,ceremony	True
s_xb	I know that the priest in the black robe congratulated _ during the ceremony _	during,the,ceremony	False
s_ax	I know who the priest in the black robe congratulated _ the alter boy _ during the ceremony	the,alter,boy	False
s_xx	I know that the priest in the black robe congratulated _ the alter boy _ during the ceremony	the,alter,boy	True
s_ab	She knows who the detective from the special crimes unit reassured _ last night _	last,night	True
s_xb	She knows that the detective from the special crimes unit reassured _ last night _	last,night	False
s_ax	She knows who the detective from the special crimes unit reassured _ the boy _ last night	the,boy	False
s_xx	She knows that the detective from the special crimes unit reassured _ the boy _ last night	the,boy	True
s_ab	I know who the spy in the sunglasses informed _ about an attack _	about,an,attack	True
s_xb	I know that the spy in the sunglasses informed _ about an attack _	about,an,attack	False
s_ax	I know who the spy in the sunglasses informed _ the dictator _ about an attack	the,dictator	False
s_xx	I know that the spy in the sunglasses informed _ the dictator _ about an attack	the,dictator	True
s_ab	They know what the metal grate with rust spikes blocked _ downtown _	downtown	True
s_xb	They know that the metal grate with rust spikes blocked _ downtown _	downtown	False
s_ax	They know what the metal grate with rust spikes blocked _ the streets _ downtown	the,streets	False
s_xx	They know that the metal grate with rust spikes blocked _ the streets _ downtown	the,streets	True
s_ab	He knows what the cheetah with black spots pursued _ this morning _	this,morning	True
s_xb	He knows that the cheetah with black spots pursued _ this morning _	this,morning	False
s_ax	He knows what the cheetah with black spots pursued _ the hunters _ this morning	the,hunters	False
s_xx	He knows that the cheetah with black spots pursued _ the hunters _ this morning	the,hunters	True
s_ab	He said what the scientist from the small lab cured _ last year _	last,year	True
s_xb	He said that the scientist from the small lab cured _ last year _	last,year	False
s_ax	He said what the scientist from the small lab cured _ cancer _ last year	cancer	False
s_xx	He said that the scientist from the small lab cured _ cancer _ last year	cancer	True
